Status,Key,Value,Source,GUID
OK,SingleHanded_TooltipCurrent,"Level [1]: +[2]% Damage, +[3]% accuracy, +[4]% armours and +[5]% to Elemental Resistances.",CombatAbilities.lsb,h70707bb2g5a48g4571g9a68ged2fe5a030ea
OK,SingleHanded_TooltipNext,"Next Level [1]: +[2]% Damage, +[3]% accuracy, +[4]% armours and +[5]% to Elemental Resistances.",CombatAbilities.lsb,h2afdc1f0g4650g4ea9gafb7gb0c042367766
OK,TwoHanded_TooltipCurrent,"Level [1]: +[2]% Damage, +[3]% Critical Multiplier.",CombatAbilities.lsb,h6e9ec88dgcbb7g426bgb1d9g69df0240825a
OK,TwoHanded_TooltipNew,"Next Level [1]: +[2]% Damage, +[3]% Critical Multiplier.",CombatAbilities.lsb,hda7ee9a4g5bbeg4c62g96b7ge31b21e094f3
OK,Condition_OneArmorDown,Enemies need to have Physical or Magic armour down to be targetable.,CustomTooltips.lsb,hd8444847bbd19af4a64fec0be5d676cfd2ac
OK,BaseLevelDamage,Base Level [1] Damage,CustomTooltips.lsb,h929657ba1aba4325f243f0e6772cfaceaadd
OK,BaseWeaponLevelDamage,Base Weapon Level [1] Damage,CustomTooltips.lsb,h79577823a419e6c124b9bd82921fb1d6acde
OK,AverageLevelDamage,Average Level [1] Damage,CustomTooltips.lsb,h32e659dc26b4d734b08f6d9f3e8b60556886
OK,DamageScalings_Description,Base level damage is level scaled damage for a 100% damage hit. Average Level damage takes into account the average bonus from attributes and abilities and is a good point of reference to evaluate the damage effectiveness of your character.,CustomTooltips.lsb,h83426768906c06cfb771d3a4e67a34ae789d
OK,Heal_ThresholdMinimum,"Heals for a minimum of ""..tostring(vitalityAmount).."" Vitality.",CustomTooltips.lsb,h0c13f0f76f8b9dcd03df00bd6c263ab24ca1
OK,Stats_AbsorbStatus_Description,Absorb [1] for [2] turns.,CustomTooltips.lsb,h2416b155e7eff9468ec627d35e1d9c1d5eef
OK,Stats_Absorb_DynamicTooltip_B,Creates or reinforce a shield absorbing [1] [2] damage.,CustomTooltips.lsb,h057a12aa72d45d7954ee6d3994ee52aab99d
OK,Stats_Absorb_DynamicTooltip,Creates a shield absorbing [1] [2] damage.,CustomTooltips.lsb,heea3647e407108c82cfb8bc7b9a28466e0ab
OK,Status_Absorb_Description,Shield remaining power: [1],CustomTooltips.lsb,hb8cba6c6ac0a19b36270e362a009381676be
OK,Stats_Property_TryKill_Source,Consume up to [1] Source points to increase the execution threshold by [2] per SP. (current threshold: [3]),CustomTooltips.lsb,h6bad3b201c1986e5a3827934ca6f49bc37fd
OK,Stats_Property_TryKill_Influence,Increase the execution threshold by [1] if the target is under the influence of ,CustomTooltips.lsb,hd7663294fbe68dbeb04a7325ed6ef4f1fc1e
OK,Stats_Property_TryKill_Tooltip,Attempt to execute the target if their Vitality falls under [1] HP after the hit.,CustomTooltips.lsb,hdc7a789f1f7aa544b50c8c57aeeefdc81f99
OK,Stats_Property_SurfaceBoost,Absorb surfaces to boost the skill.,CustomTooltips.lsb,h8f46c277e3bfc1bd5e4bbdc9dd44cb02a76b
OK,Stats_Property_ExplodeTarget,"Explode target, causing damage in a [1] meters radius",CustomTooltips.lsb,h18e8b47d7dd5bd8e8fe8dd3648babef22e0e
OK,Stats_Projectiles_PerHit,per hit,CustomTooltips.lsb,h4e5602c09b6bcb669bfdbf883d41a4733bee
OK,Stats_Property_Spark,Each hit will throw a projectile to the nearest target in a [1] meters radius,CustomTooltips.lsb,hf7706a04b05a3924631fd884d6fb9098791c
OK,Stats_Property_LeaveAction,On [1] expiration,CustomTooltips.lsb,h61696f26f01ce354a30f6417bb246c7f4233
OK,Stats_Property_ActiveDefense,On activation: [1],CustomTooltips.lsb,hadf39de9d8d3bcbd079c8e63931ca10cc64c
OK,Status_Damage_ExtensionWeapon,Weapon bonus: [1],CustomTooltips.lsb,hb26a8b9532200173428dddf10659da5c09a0
OK,Status_Damage_ExtensionStatus,Status: [1],CustomTooltips.lsb,hc93f8814ef80da6b9a7e1c5b2dd32b96d9d5
OK,Tooltip_Generic_BonusFrom,Bonus from ,CustomTooltips.lsb,h2bfa26da00cc53a60efe45644bb2fb131345
OK,Tooltip_BonusFromAttributes,Bonus from Attributes,CustomTooltips.lsb,hc47f2a9f4b4028956cd52426f13d7fa81856
OK,Stats_Potion_Overdose,"Drinking a second potion during your turn will reduce your AP by 1 the next turn, and drinking a third one will immediatly end your turn and reduce your AP by 3 the next turn.",CustomTooltips.lsb,h4b32c30df6e6bfe971f6a7d2a3f6cec47921
OK,Stats_Potion_HealingElixir_Custom,"Clear Crippled, Atrophy and Diseased.",CustomTooltips.lsb,h95b0cc714194a4a72e30770873e9bcef128d
OK,AttributesGeneralBonusDynamicTooltip,From Attributes : [1]%,Misc.lsb,hdf2a4bd0g134eg4107g9a8agd93d6d22fd68
OK,BuiltinWeaponEnhancementTooltip,,Misc.lsb,he534e470gb8a2g4032gbd9bgee0ac41f1f0f
OK,Corrogic_DisplayName,Resistance Corrosion,Misc.lsb,hb24edf38gd48ag477fgbf75g3bd3de8c6eec
OK,PhysArmourBypassReduction_Tooltip,Reduce damage going through Physical Armour by [1]%,Misc.lsb,h50e9548eg61f2g4aedg8a3eg570a7ffee6d3
OK,ArmoursReductionBypass_Tooltip,Reduce damage going through Physical and Magic Armour by [1]%,Misc.lsb,hf7a19975gea84g44a3g8fffg5b4f063b88b4
OK,Strength_WeaponDamageTooltip,From Strength weapon bonus : [1]%,Misc.lsb,ha418e064g2d69g4407gadc2gf2f590f0e895
OK,Target_Condense_Custom,Refund 1 AP on use if the user is Wet.,Misc.lsb,h5806fbdcgce18g421dg8affg316856abad0f
OK,Target_EvasiveManeuver_Custom,Prevent the attacker to Warmup when you dodge.,Misc.lsb,h456b2bf0gf693g41e8gb01cg42e3548814a2
OK,TargetCondition_ArmoursDepleted,Enemies can only be targeted if one of their armour is depleted.,Misc.lsb,h8afcfe4egf50fg402agbcc0g6ba95472ff53
OK,Target_TentacleLash_Custom,Also triggers the Strength weapon bonus.,Misc.lsb,hddb00621g65ddg46acg89d2gfcf3efd8cd78
OK,Confused_Description,This character has been magically affected during recovery.,Potion.lsb,h4641ef2eg741ag408bg95adg2fe65094c8b6
OK,DodgeFatigue_Description,This characters dodging has become less effective.,Potion.lsb,he8ede611g2306g4bacga3aag78eccdf928fb
OK,FoodPoisoning_Description,Deals [1] damage each turn.,Potion.lsb,h06098edfg8629g4f30gb6d4g45057f6622ce
OK,Lingering_Description,"Any attempt to apply Stunned, Petrified, Frozen, Madness, Terrified or Charm will apply Confused instead.",Potion.lsb,h32fcbbfbgec6bg4af4g894ag49fd997307fe
OK,MedusaHeadAura_Description,Slow enemies in [1] range.,Potion.lsb,h619fc68ag94ccg4c8ag9442g4ad02630ad64
OK,Momentum_Description,Any attempt to apply Knocked Down or Chicken Form will apply Staggered instead.,Potion.lsb,h2ceb4cffgfaf3g42b2g95c8g4fad6567f70d
OK,PetpalStatus_Description,This summon is weaker.,Potion.lsb,h76856ed3gf1cdg4c63g887fgb4c1fd40952b
OK,PotionFatigue1_Description,This character drank too many potions and is experiencing side effects.,Potion.lsb,h6268c71cge671g4168g8827g653a7ace2925
OK,PotionFatigue2_Description,This character drank too many potions and could not handle the side effects.,Potion.lsb,h9dffbeb7g85b6g4275g8c58g8b0de33c8583
OK,PotionWarning_Description,This character has already drunk one potion during their turn. Drinking another potion before the end of the turn will have side effects.,Potion.lsb,h6c5806e8g7bccg4ecdg959eg254d17edbd71
OK,ShieldsUp_Description,The amount of damage going through Physical and Magic Armour is reduced by half.,Potion.lsb,h9e8b6e5bgd7b4g4444g8853g5eb8910285a4
OK,Staggered_Description,This character has staggered during their recovery.,Potion.lsb,hd281d94fg1f41g4af0ga8c2g69747893e1f2
OK,LX_AIMING_STANCE_DisplayName,Aiming Stance,RangedStances.lsb,h277498b7gfd0bg449bga053g3e1dae5ca0b0
OK,LX_HUNTERMARK_APPLIED_Description,The next ranged weapon skill from [1] will do 50% more damage and will bypass Accuracy checks.,RangedStances.lsb,h13ed1461ge8e3g477ag8f51g958c2f4a4727
OK,LX_HUNTERMARK_APPLIED_DisplayName,Marked for death,RangedStances.lsb,h60b4894egad4bg4739gac4agfe88440bce95
OK,LX_HUNTERMARK_Description,"If the aiming stance of the instigator is not broken when this status expires, their next ranged weapon skill will do 50% more damage and bypass Accuracy when targeting this character.",RangedStances.lsb,h84fd8ab8gbebag4766g9ae6gf44377bc80e5
OK,LX_HUNTERMARK_DisplayName,Hunter's Mark,RangedStances.lsb,h824a28cfg6feag40e9gb4aegadb1c9c1b6b1
OK,LX_RAPIDFIRE_Description,Huntsman offensive skills cost less AP but will do less damage as well.,RangedStances.lsb,hd136cd0dge4efg455bgab63g1c5f09e8b3f7
OK,LX_RAPIDFIRE_DisplayName,Rapid fire,RangedStances.lsb,hc6fd8ccagf282g443cga110g9dee53707a0b
OK,LX_REFLEX_STANCE_Description,"Each successful ranged weapon hit done by this character will provide [1]m Celerity, but Accuracy on targets beyond 8m is halved.",RangedStances.lsb,h029d1a4fg5ab0g49e0g9abegc9e15bebca22
OK,LX_REFLEX_STANCE_DisplayName,Reflex Stance,RangedStances.lsb,hf9f20bd7gbfe4g4c4bgad59gdc7269f503ed
OK,LX_RELOAD_DisplayName,Reload,RangedStances.lsb,h9e6328c3gd089g40a0g9b27gc128f0ec539a
OK,LX_RELOAD_PENALTY_Description,Convert Celerity to reduce the cooldown of the last skill used.,RangedStances.lsb,hecc2fd8fged63g414bg9418g03b24ee992f4
OK,LX_RELOAD_PENALTY_DisplayName,Reload,RangedStances.lsb,hfb285918gb021g48ecga65cgdf885c76c31a
OK,LX_SUPPRESSED_Description,"Receiving ranged attacks will reduce further Movement, Celerity, Damage and Wisdom while staying in the suppressed area.",RangedStances.lsb,h2fcb1a3fg1529g457dga677g50f4ec549691
OK,LX_SUPPRESSED_DisplayName,Suppressed,RangedStances.lsb,h1371caecg6f8bg4f1bg8c9ag31fc22292c21
OK,Shout_LX_RangedAimingStance_Description,"Set Movement to 0, reduce Dodge by [1]% but increase Accuracy by [2]% and Critical chance by [3]%. Also provides Suppression and Mark for death skills. If the character receives a melee attack, the stance breaks and go on cooldown for 3 turns.",RangedStances.lsb,h77c44af5g4d45g434bgbe54g5fccaef26cd3
OK,Shout_LX_RangedAimingStance_DisplayName,Aiming Stance,RangedStances.lsb,h2045f341g51b8g4435gbeccg405635077ac2
OK,Shout_LX_RangedReflexStance_Description,Accuracy is reduced by half when attacking targets beyond 8m but each successful hit grants 2 meters of free movement. Also provides Reloading and Rapid fire skills.,RangedStances.lsb,hca9195aeg715fg4387gbe13ge48e4ccdf2a3
OK,Shout_LX_RangedReflexStance_DisplayName,Reflex Stance,RangedStances.lsb,h1db2ada5g0ccag4febg8228g771074232992
OK,Shout_LX_RangedStances_Description,Change the character stance to provide specific advantages with a bow or a crossbow.,RangedStances.lsb,h34ec8c2ega1ecg46b4gbe96gf7070e6678d2
OK,Shout_LX_RangedStances_DisplayName,Ranger Stances,RangedStances.lsb,h6fa29989g3160g479ag9e1cgcde1483eedd0
OK,Shout_LX_RapidFire_Description,Reduce the AP cost of Huntsman skills by 1 but reduces their damage by up to 35% depending on the original cost until the end of the turn. Cannot reduce AP costs below 1.,RangedStances.lsb,hd289e74bgd779g47d8gb225ga4c7526336d2
OK,Shout_LX_RapidFire_DisplayName,Rapid Fire,RangedStances.lsb,h8e14798eg42cfg468fg87efg3da3af53f26f
OK,Shout_LX_Reload_Description,Consume available Celerity to reduce the cooldown of the latest Huntsman skill used by 1 turn per 2.5m of Celerity consumed.,RangedStances.lsb,h17742d01ga6afg4d36g99efg057be20b47ea
OK,Shout_LX_Reload_DisplayName,Reload,RangedStances.lsb,he988464dga06ag4169ga694g853a26a924df
OK,Target_LX_HunterMark_Description,"Mark the target. If the stance is not broken until next turn, the next skill against the marked target will inflict 50% more damage and bypass Accuracy checks.",RangedStances.lsb,he277a356g75c7g4ce1g9b3ag6340b43bc512
OK,Target_LX_HunterMark_DisplayName,Hunter's mark,RangedStances.lsb,h38811663g88e4g444dgbda2g880b18198a1c
OK,Target_LX_SuppressionFire_DisplayName,Suppression fire,RangedStances.lsb,hf6ad3ad9g9ceag4df4g8035gee550741027b
OK,Target_LX_SuppressionFiret_Description,"Cover an area and sets Suppression on characters you shoot inside, reducing their Celerity by [1], Damage by [2]%, Movement by [3] and Wisdom by [4] for 2 turns and stacks up to 5 times. The suppression area lasts 2 turns.",RangedStances.lsb,h22ed7dacg4d3cg4beag92c7g224187547dfe
OK,LXDGM_ArmourDamagePass,Armour penetration,Resources.lsb,heace2e30g4075g428cg8163g3fc8eff9323b
OK,LXDGM_ArmourDamagePass_Description,Set the percentage of damage going through armours.<br>Default : 50,Resources.lsb,h8271feceg6b6cg470cg8c8fg5de1ee77a76b
OK,LXDGM_ArmourDamagePassDepleted,Last armour penetration,Resources.lsb,h39ded39fg40a6g46a1gafe4gbaf448e4f20a
OK,LXDGM_ArmourDamagePassDepleted_Description,Set the percentage of damage going through armour when one type of armour is depleted. Additive to the first value.<br>Default : 25,Resources.lsb,hf2c55a59ge06dg4e77g8d04g69f9ea668541
OK,LXDGM_ArmourReductionMultiplier,Armour Damage Multiplier,Resources.lsb,h7bcfac6eg76a6g4ccega83bg2ff334058ccc
OK,LXDGM_ArmourReductionMultiplier_Description,Apply a multiplier to all Corrosive and Magic damage. <br>Default : 100,Resources.lsb,h579e2544g8e6cg4bbdg92a1g5598996b8f7b
OK,LXDGM_AttributeCap,Attributes Soft Cap,Resources.lsb,hcd0b98f8g6ce9g454cg880cgb0358ed18328
OK,LXDGM_AttributeCap_Description,The number of points you can invest in an attribute. Doesn't concern bonuses from statuses and equipment.<br>Default : 40,Resources.lsb,h6516d420gee6dg45ccgb315gd94c2d8b3bc5
OK,LXDGM_BackstabCritChanceBonus,Crit. Chance Backstab Bonus,Resources.lsb,h5181573egec45g4adcgb6d2g6b8d856c3b4f
OK,LXDGM_BackstabCritChanceBonus_Description,The damage bonus provided per Critical Chance percent when backstabbing. <br>Default : 0.5<br>,Resources.lsb,haee8a8d1g10e8g491ag83c8g833c3a4d0fbb
OK,LXDGM_BaseAccuracy,Base Accuracy,Resources.lsb,h757f2c61g6620g4134ga7efgd7db36630de5
OK,LXDGM_BaseAccuracy_Description,Default : 90<br><font color=#ff0000>Require a game restart</font>,Resources.lsb,he8315150gd40cg453dg911bgef5e2cd5ef74
OK,LXDGM_CCParryDuration,CC Recover Duration,Resources.lsb,h80149363gb072g4531gae22gf187147b9c44
OK,LXDGM_CCParryDuration_Description,The duration of Momentum and Lingering when they are triggered. <br>Default : 2<br>,Resources.lsb,hdef2f1beg2fc7g4a22gab9eg29c2f0694e4d
OK,LXDGM_CQBPenalty,CQB Ranged Combat Penalty,Resources.lsb,h0c972945g2320g4a0agbfebg86667bcf4c7b
OK,LXDGM_CQBPenaltyRange,CQB Range Threshold,Resources.lsb,h2cfe726egc70bg459cgb8b8gc2442ce7b9ea
OK,LXDGM_CQBPenaltyRange_Description,Set the target distance threshold which defines when do ranged weapons gets a penalty.<br>Default : 2<br>,Resources.lsb,h19525dddg3cadg4699g94d2g342b1192a332
OK,LXDGM_CrossbowPenaltyBase,Crossbow Base Penalty,Resources.lsb,hc5574731g874ag4d82gb4a0gba70af698168
OK,LXDGM_CrossbowPenaltyBase_Description,Set the base Movement penalty of Crossbows when they are equipped.<br>Default : -92<br><font color=#ff0000>Require a game restart</font>,Resources.lsb,h5d420a72gb8cag4a08gb9ffg774da57dd2f7
OK,LXDGM_CrossbowPenaltyGrowth,Crossbow Penalty Per Level,Resources.lsb,he6c2c979gd7a7g4926g9180g5d69e9d79d62
OK,LXDGM_CrossbowPenaltyGrowth_Description,Set the Movement penalty of Crossbows growth per level.<br>Default : -8<br><font color=#ff0000>Require a game restart</font>,Resources.lsb,heb8111a8g1b89g4bf6gbf1age84937263ba2
OK,LXDGM_FinesseCriticalChanceBonus,Finesse Critical Chance Bonus,Resources.lsb,hc8901962g28ceg4fd9g82c2ge28ef16abd5b
OK,LXDGM_FinesseCriticalChanceBonus_Description,Default : 1<br><font color=#ff0000>Require a game restart</font>,Resources.lsb,h049f29acg76c5g4336ga831g3effd3b94d4e
OK,LXDGM_FinesseGlobalDamageBonus,Finesse Global Damage Bonus,Resources.lsb,h7b1052abg9968g4acdgb399g989954144550
OK,LXDGM_FinesseGlobalDamageBonus_Description,Default : 3,Resources.lsb,h19eab510gec8cg4d4fg92fag5918044ab001
OK,LXDGM_FinesseMovementBonus,Finesse Movement Bonus,Resources.lsb,h5822708bgb172g42d7g8d1fg948980c9d8eb
OK,LXDGM_FinesseMovementBonus_Description,Default : 20<br><font color=#ff0000>Require a game restart</font>,Resources.lsb,hd5148365gb1f7g4f21g9521gd50d897e5e4a
OK,LXDGM_FixConstitutionGap,Fix Vitality Gap,Resources.lsb,hf69fc03eg0a46g4ed6g80e4ga325a7ffe659
OK,LXDGM_FixConstitutionGap_Description,Use this if you enabled Vanilla Plus on a running save and you witness most characters and items lack some Vitality.,Resources.lsb,hbe73e4f8g0448g4a54gaa87g3905ebfeb604
OK,LXDGM_FixConstitutionGap_Message,Warning ! Use it only if you enabled Vanilla Plus in a running save and witness everything lacking Vitality. The fix might be somewhat inaccurate and can potentially break encounters. Proceed ?,Resources.lsb,hbf283d5cgda64g4436g886cg3452c10aa414
OK,LXDGM_FlatScaling_Message1,"Warning ! Changing the vitality scaling will break the vitality of the characters on the current map (in story mode) or on all scenes (in GM mode). It is highly recommended that you enable this option during the character creation before starting the game, or if you are in GM mode before creating your scenes. Proceed ?",Resources.lsb,h69b87598gf85eg4c63g9533ga0aa699de1ce
OK,LXDGM_FlatScaling_Message2,"Warning ! Deactivating the linear scaling will break characters vitalities again. If you do it in story mode, it is recommended to do it just before transitioning to a new act. Proceed ?",Resources.lsb,he187433cg29c8g44dag8924gdd2345937ed0
OK,LXDGM_FlatScalingActivate,Enable Linear Vitality Scaling,Resources.lsb,hda7d12b4gfd73g46dag981bg3bcc5d9e8ad1
OK,LXDGM_FlatScalingActivate_Description,"Change the vitality scaling to be linear instead of exponential. The difference of Vitality, Armours and Damage between levels are much lower, avoiding weapons fast obsolescence and making inter-levels combats more fair. <br>Default : off<br><font color=#ff0000>Require a map reload. It is highly recommended to activate this option before starting a new game (during character creation), and deactivating it mid-playthrough will break all NPCs vitality.</font>",Resources.lsb,hab342575gecacg4c17ga4dcg4d2c771f2a24
OK,LXDGM_FlatScalingDeactivate,Disable Linear Vitality Scaling,Resources.lsb,h1cf47358gd399g486fg9401g6a12b06eb879
OK,LXDGM_FlatScalingDeactivate_Description,"Switch back to the exponential scaling. Break vitalities of characters on the current map (story mode), or on all scenes (GM mode).",Resources.lsb,hdbadc53agb463g47c8gb396gff76b7cc0164
OK,LXDGM_IntelligenceAccuracyBonus,Intelligence Accuracy Bonus,Resources.lsb,hd4f241b4gb997g41efga6c0gb5d38e0ad0b0
OK,LXDGM_IntelligenceAccuracyBonus_Description,Default : 2<br><font color=#ff0000>Require a game restart</font>,Resources.lsb,ha4a2351eg24cdg4f68g8ef6gb7ee91c0c08e
OK,LXDGM_IntelligenceGlobalDamageBonus,Int. Global Damage Bonus,Resources.lsb,hf7f34763g19feg4018gb6f6g4cc298dc512d
OK,LXDGM_IntelligenceGlobalDamageBonus_Description,Default : 2,Resources.lsb,h5340847eg5242g4a5bgb0dcg581a25c167ce
OK,LXDGM_IntelligenceSpecialDamageBonus,Intelligence Skill Damage Bonus,Resources.lsb,hfd01dd86gb216g473fg86a3gb6eddafc79db
OK,LXDGM_IntelligenceSpecialDamageBonus_Description,Default : 3,Resources.lsb,h4b32fa34gdce0g4683g93aagf3c802c319d7
OK,LXDGM_ModuleCorrogicDisable,Corrogic,Resources.lsb,hebc78e7bg3775g4da6gbe21g054b280f11ce
OK,LXDGM_ModuleCorrogicDisable_Description,"If Corrosive or Magic damage is dealt while the corresponding armour is depleted, they will strip resistances for 2 turns. Can be stacked, the resistance loss is proportional to the damage dealt and the max vitality of the target. Can be removed with Fortified or Magic Shell. <br>Default : on<br>",Resources.lsb,hb78e3fa5gfa77g4a00g9228g62b93db293e9
OK,LXDGM_ModuleDivineTalentsDisable,Divine Talents Plus,Resources.lsb,h2512e452g4bdcg4631g9f32g67f9b6e5fc99
OK,LXDGM_ModuleDivineTalentsDisable_Description,"Enable talents from Gift Bag 4, with effects slightly adapted to Vanilla Plus gameplay. <br>Default : on<br><font color=#ff0000>Require a game restart</font>",Resources.lsb,h0045f23fgb529g49d5gb9f5gab8c0a6a4b17
OK,LXDGM_ModuleDualCC,Dual CC Resistance,Resources.lsb,he53d3385g125cg49ddgaacegce01ebea865f
OK,LXDGM_ModuleDualCC_Description,"When recovering from a hard crowd control effect, both Momentum and Lingering will always be triggered together whatever the crowd control effect it was. <br>Default : off<br>",Resources.lsb,h51631525ga7c5g4ff3gbf10ga04307fcdf7e
OK,LXDGM_ModuleFallDamageAlternate,Activate Jump fall damage,Resources.lsb,h2e8803d0g3b27g470dgb836g26fcbeb60714
OK,LXDGM_ModuleFallDamageAlternate_Description,Activate fall damage when character use Jump skills or Projectile skills moving the character. Damage is not applied for Fly.,Resources.lsb,h584b8016g05e3g4c00gbaccg0c441bf1c3f5
